INFO   | jvm 1    | 2017/05/12 09:47:55 | 
INFO   | jvm 1    | 2017/05/12 09:47:55 | Phoenix 4.2
INFO   | jvm 1    | 2017/05/12 09:47:55 | 
INFO   | jvm 1    | 2017/05/12 09:47:59 | James Mail Server 2.3.2
INFO   | jvm 1    | 2017/05/12 09:47:59 | Remote Manager Service started plain:4555
INFO   | jvm 1    | 2017/05/12 09:47:59 | POP3 Service started plain:110
INFO   | jvm 1    | 2017/05/12 09:47:59 | SMTP Service started plain:25
INFO   | jvm 1    | 2017/05/12 09:47:59 | NNTP Service started plain:119
INFO   | jvm 1    | 2017/05/12 09:47:59 | FetchMail Disabled
INFO   | jvm 1    | 2017/05/12 18:41:24 | Shutting down Phoenix.
INFO   | jvm 1    | 2017/05/12 18:41:25 | org.apache.avalon.phoenix.containerkit.lifecycle.LifecycleException: Component named "thread-manager" failed to pass through the Destruction stage. (Reason: java.lang.IllegalThreadStateException).
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.containerkit.lifecycle.LifecycleHelper.fail(LifecycleHelper.java:354)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.containerkit.lifecycle.LifecycleHelper.shutdown(LifecycleHelper.java:288)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.components.application.DefaultApplication.shutdown(DefaultApplication.java:566)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.components.application.DefaultApplication.doRunPhase(DefaultApplication.java:482)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.components.application.DefaultApplication.runPhase(DefaultApplication.java:409)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.components.application.DefaultApplication.stop(DefaultApplication.java:233)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.framework.container.ContainerUtil.stop(ContainerUtil.java:292)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.framework.container.ContainerUtil.shutdown(ContainerUtil.java:66)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.components.kernel.DefaultKernel.shutdown(DefaultKernel.java:346)
